research_id,category_code,category_name,country,buyer_type,source_tier,source_name,source_url,market_fit_score,source_reliability_score,evidence_density_score,recommended_next_action,approval_required,notes,created_at,updated_at
DEM-EXP-AGRI-001-UAE-4,EXP-AGRI-001,Agricultural Commodities,UAE,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,50,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-AGRI-001-UAE-5,EXP-AGRI-001,Agricultural Commodities,UAE,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,62,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-AUSTRALIA-1,EXP-CRAFT-001,Handicrafts and Artisan Products,Australia,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-AUSTRALIA-2,EXP-CRAFT-001,Handicrafts and Artisan Products,Australia,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,75,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-AUSTRALIA-4,EXP-CRAFT-001,Handicrafts and Artisan Products,Australia,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,63,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-AUSTRALIA-5,EXP-CRAFT-001,Handicrafts and Artisan Products,Australia,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,75,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-CANADA-1,EXP-CRAFT-001,Handicrafts and Artisan Products,Canada,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-CANADA-2,EXP-CRAFT-001,Handicrafts and Artisan Products,Canada,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,75,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-CANADA-4,EXP-CRAFT-001,Handicrafts and Artisan Products,Canada,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,63,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-CANADA-5,EXP-CRAFT-001,Handicrafts and Artisan Products,Canada,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,75,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-GERMANY-1,EXP-CRAFT-001,Handicrafts and Artisan Products,Germany,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-GERMANY-2,EXP-CRAFT-001,Handicrafts and Artisan Products,Germany,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,75,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-GERMANY-4,EXP-CRAFT-001,Handicrafts and Artisan Products,Germany,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,63,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-GERMANY-5,EXP-CRAFT-001,Handicrafts and Artisan Products,Germany,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,75,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-UK-1,EXP-CRAFT-001,Handicrafts and Artisan Products,UK,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-UK-2,EXP-CRAFT-001,Handicrafts and Artisan Products,UK,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,75,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-UK-4,EXP-CRAFT-001,Handicrafts and Artisan Products,UK,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,63,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-UK-5,EXP-CRAFT-001,Handicrafts and Artisan Products,UK,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,75,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-USA-1,EXP-CRAFT-001,Handicrafts and Artisan Products,USA,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-USA-2,EXP-CRAFT-001,Handicrafts and Artisan Products,USA,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,75,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-USA-4,EXP-CRAFT-001,Handicrafts and Artisan Products,USA,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,63,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-CRAFT-001-USA-5,EXP-CRAFT-001,Handicrafts and Artisan Products,USA,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,75,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-AUSTRALIA-1,EXP-ENG-001,Engineering Goods (Simple),Australia,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,72,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-AUSTRALIA-2,EXP-ENG-001,Engineering Goods (Simple),Australia,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,62,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-AUSTRALIA-4,EXP-ENG-001,Engineering Goods (Simple),Australia,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,50,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-AUSTRALIA-5,EXP-ENG-001,Engineering Goods (Simple),Australia,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,62,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-GERMANY-1,EXP-ENG-001,Engineering Goods (Simple),Germany,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,72,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-GERMANY-2,EXP-ENG-001,Engineering Goods (Simple),Germany,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,62,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-GERMANY-4,EXP-ENG-001,Engineering Goods (Simple),Germany,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,50,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-GERMANY-5,EXP-ENG-001,Engineering Goods (Simple),Germany,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,62,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-UAE-1,EXP-ENG-001,Engineering Goods (Simple),UAE,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,72,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-UAE-2,EXP-ENG-001,Engineering Goods (Simple),UAE,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,62,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-UAE-4,EXP-ENG-001,Engineering Goods (Simple),UAE,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,50,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-UAE-5,EXP-ENG-001,Engineering Goods (Simple),UAE,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,62,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-USA-1,EXP-ENG-001,Engineering Goods (Simple),USA,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,72,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-USA-2,EXP-ENG-001,Engineering Goods (Simple),USA,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,62,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-USA-4,EXP-ENG-001,Engineering Goods (Simple),USA,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,50,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-ENG-001-USA-5,EXP-ENG-001,Engineering Goods (Simple),USA,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,62,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-MALAYSIA-1,EXP-SPICE-001,Spices and Condiments,Malaysia,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-MALAYSIA-2,EXP-SPICE-001,Spices and Condiments,Malaysia,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,75,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-MALAYSIA-4,EXP-SPICE-001,Spices and Condiments,Malaysia,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,63,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-MALAYSIA-5,EXP-SPICE-001,Spices and Condiments,Malaysia,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,75,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-SAUDIARABIA-1,EXP-SPICE-001,Spices and Condiments,Saudi Arabia,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-SAUDIARABIA-2,EXP-SPICE-001,Spices and Condiments,Saudi Arabia,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,75,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-SAUDIARABIA-4,EXP-SPICE-001,Spices and Condiments,Saudi Arabia,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,63,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-SAUDIARABIA-5,EXP-SPICE-001,Spices and Condiments,Saudi Arabia,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,75,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-UAE-1,EXP-SPICE-001,Spices and Condiments,UAE,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-UAE-2,EXP-SPICE-001,Spices and Condiments,UAE,Sector board or export promotion desk,TIER_2_SECTOR,FIEO Connect,https://connect.fieo.org,75,72,55,Use sector board evidence to identify country demand lanes; do not count as RFQ until buyer proof exists.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-UAE-4,EXP-SPICE-001,Spices and Condiments,UAE,Marketplace lead triage,TIER_4_MARKETPLACE_RFQ,Alibaba — Buyer RFQs,https://rfq.alibaba.com,63,38,30,Treat as weak lead; require unmasked buyer identity and RFQ proof before promotion.,FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-UAE-5,EXP-SPICE-001,Spices and Condiments,UAE,Named account research,TIER_5_STRATEGIC_ACCOUNT,India Business Portal (DGFT),https://www.indiabusinessportal.gov.in,75,52,35,Create named target-account research packet for owner-approved outreach drafting.,TRUE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
DEM-EXP-SPICE-001-UK-1,EXP-SPICE-001,Spices and Condiments,UK,Institutional procurement desk,TIER_1_INSTITUTIONAL,UN Global Marketplace (UNGM),https://www.ungm.org,85,88,70,"Scan public notices for buyer-specific RFQs with reference, product, country, deadline, and portal/contact path.",FALSE,"Public-source/portal-lane V1; owner standing authorization covers research login/signup, but operational demand still requires RFQ verification and all buyer/bid/payment/final commitments remain gated.",2026-06-30,2026-06-30
